Enabled,Name,ID
0,,0
0,So Shall You Fight,1
1,Precision Shot,2
1,Squadsight,3
1,Secondary Heart,4
1,Low Profile,5
1,Run and Gun,6
0,Autopsy Required,7
1,Battle Scanner,8
1,Disabling Shot,9
1,Opportunist,10
1,Executioner,11
0,,12
1,Double Tap,13
1,In The Zone,14
1,Damn Good Ground,15
1,Snap Shot,16
1,Will to Survive,17
1,Fire Rocket,18
1,Holo-Targeting,19
1,Adrenal Neurosympathy,20
1,Suppression,21
1,Shredder Ammo,22
1,Rapid Reaction,23
1,Grenadier,24
1,Danger Zone,25
1,Ready For Anything,26
1,Extra Conditioning,27
1,Neural Damping,28
1,Neural Feedback,29
1,Hyper-Reactive Pupils,30
1,Sprinter,31
1,Aggression,32
1,Tactical Sense,33
1,Close Encounters,34
1,Lightning Reflexes,35
1,Rapid Fire,36
1,Flush,37
1,Depth Perception,38
1,Bring 'Em On,39
1,Close Combat Specialist,40
1,Killer Instinct,41
1,Bioelectric Skin,42
1,Resilience,43
1,Smoke Grenade,44
1,Adaptive Bone Marrow,45
0,Random Subclass,46
1,Covering Fire,47
1,Field Medic,48
1,Pyrokinesis,49
1,Muscle Fiber Density,50
1,Combat Drugs,51
1,Dense Smoke,52
1,Packmaster,53
1,Sentinel,54
1,Savior,55
1,Revive,56
1,Elevated Ground,57
1,Lock N' Load,58
1,Sapper,59
1,Suppressed,60
1,Critically Wounded,61
1,Airborne,62
1,Stealth,63
1,HEAT Warheads,64
1,Combat Stimmed,65
1,Javelin Rockets,66
1,Panicked,67
1,Mindfray,68
1,Psi Panic,69
1,Psi Inspiration,70
1,Mind Control,71
1,Telekinetic Field,72
1,Rift,73
0,Mind Merge,74
0,Mind Merge,75
0,Hardened,76
0,Greater Mind Merge,77
0,Greater Mind Merge,78
0,Evasion,79
0,Launch,80
0,Bombard,81
0,Leap,82
0,Acid Spit,83
0,Venomous Claws,84
0,Blood Call,85
0,Intimidate,86
0,Fallen Comrades,87
0,Bloodlust,88
0,Bull Rush,89
1,HEAT Ammo,90
1,Smoke and Mirrors,91
1,Shock and Awe,92
1,Mayhem,93
1,Ranger,94
1,Concealment,95
0,Cluster Bomb,96
0,Psi Lance,97
0,Death Blossom,98
0,Overload,99
0,Psi Control,100
0,Psi Drain,101
0,Repair,102
0,Cannon Fire,103
0,Implant,104
0,Chryssalid Spawn,105
0,Battle Fatigue,106
0,Range,107
0,Range,108
0,,109
0,,110
0,,111
1,Tandem Warheads,112
0,,113
1,Fire in the Hole,114
0,,115
1,Deadeye,116
0,,117
0,,118
0,Psychokinetic Strike,119
0,,120
1,MEC Close Combat,121
1,Stay Frosty,122
0,,123
0,Sentinel Module,124
0,Alien Grenades,125
0,Light 'Em Up,126
0,Stealth,127
0,Ghost Mode,128
0,Reaper Pack,129
0,Disoriented,130
1,Collateral Damage,131
1,Automated Threat Assessment,132
1,Advanced Fire Control,133
1,Damage Control,134
1,Vital Point Targeting,135
0,One For All,136
1,Jetboot Module,137
1,Combined Arms,138
1,Repair Servos,139
0,Fortiores Una,140
1,Platform Stability,141
1,Absorption Fields,142
1,Shock-Absorbent Armor,143
1,Reactive Targeting Sensors,144
1,Body Shield,145
1,Distortion Field,146
1,Adrenaline Surge,147
1,Iron Skin,148
0,Regen Biofield,149
1,Field Surgeon,150
0,EXALT Comm Hack,151
0,Semper Vigilans,152
1,Sharpshooter,153
1,Steadfast,154
1,Smart Macrophages,155
0,Legio Patria Nostra,156
0,Band of Warriors,157
0,So Others May Live,158
1,Lone Wolf,159
0,Esprit de Corps,160
0,Into the Breach,161
1,Paramedic,162
1,Aiming Angles,163
0,Catching Breath,164
0,Tactical Rigging,165
0,Strangle,166
1,Hit and Run,167
0,Psi Shield,168
0,Electropulsed,169
0,OTS Leader Bonus,170
0,Lead By Example,171
