Name,ID
,0
Xenobiology,1
Xenoneurology,2
Alien Operations,3
Xenopsionics,4
Alien Propulsion,5
Sectoid Commander Autopsy,6
Alien Communications,7
Alien Command and Control,8
Alien Weaponry,9
Alien Materials,10
Experimental Warfare,11
Elerium,12
Xenogenetics,13
Mind and Machine,14
Advanced Body Armor,15
Mobile Power Armor,16
Advanced Power Armor,17
Stealth Systems,18
Antigrav Systems,19
Beam Lasers,20
Advanced Beam Lasers,21
Pulse Lasers,22
Compact Plasma Weapons,23
Plasma Weapons,24
Advanced Plasma Weapons,25
Heavy Plasma Weapons,26
Precision Plasma Weapons,27
Gauss Weapons,28
Vehicular Plasma Weapons,29
Fusion Weapons,30
Advanced Gauss Weapons,31
Alien Computers,32
Alien Power Systems,33
Electromagnetic Pulse Weapons,34
Interrogate Sectoid,35
Interrogate Floater,36
Interrogate Muton,37
Interrogate Sectoid Commander,38
Interrogate Berserker,39
Interrogate Thin Man,40
Interrogate Heavy Floater,41
Interrogate Muton Elite,42
Interrogate Ethereal,43
Sectoid Autopsy,44
Floater Autopsy,45
Thin Man Autopsy,46
Muton Autopsy,47
Chryssalid Autopsy,48
Advanced Pulse Lasers,49
Cyberdisc Autopsy,50
Berserker Autopsy,51
Heavy Floater Autopsy,52
Muton Elite Autopsy,53
Drone Autopsy,54
Sectopod Autopsy,55
Ethereal Autopsy,56
Mechtoid Autopsy,57
Seeker Autopsy,58
Advanced Aerospace Concepts,59
Alien Biocybernetics,60
UFO Analysis: Scout,61
UFO Analysis: Destroyer,62
UFO Analysis: Abductor,63
UFO Analysis: Transport,64
UFO Analysis: Battleship,65
UFO Analysis: Overseer,66
UFO Analysis: Fighter,67
UFO Analysis: Raider,68
UFO Analysis: Harvester,69
UFO Analysis: Terror Ship,70
UFO Analysis: Assault Carrier,71
Improved Body Armor,72
Improved Combat Exoskeletons,73
Mobile Combat Exoskeletons,74
Heavy Combat Exoskeletons,75
